Name,Institution_Type,Address,District_City,State,Pincode,AICTE_Permanent_ID,Women_Only,Minority_Institution,Courses_Offered,Website,Source
"VIVEKANANDA COLLEGE OF TECHNOLOGY & MANAGEMENT, ALIGARH",Private-Self Financing,"MATHURA BYE PASS, NEAR KHAIR ROAD, 500 MTRS FROM NADA PUL, ALIGARH",Aligarh,Uttar Pradesh,,1-44642396757,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ZAKIR HUSAIN COLLEGE OF ENGINEERING & TECHNOLOGY,Central University,ZAKIR HUSAIN COLLEGE OF ENGINEERIING & TECHNOLOGY ALIGARH MUSLIM UNIVERSITY ALIGARH - 202002,Aligarh,Uttar Pradesh,202002,1-44638152637,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ABHAY MEMORIAL TRUST GROUP OF INSTITUTIONS,Private-Self Financing,"366 AKBARPUR, SALLAPUR",Allahabad,Uttar Pradesh,,1-44638554773,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
B.B.S. COLLEGE OF ENGINEERING & TECHNOLOGY,Private-Self Financing,GADDOPUR PHAPHAMAU ALLAHABAD,Allahabad,Uttar Pradesh,,1-44642227021,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"CHHATRAPATI SHAHUJI MAHARAJ COLLEGE OF ENGINEERING & TECHNOLOGY,",Private-Self Financing,"8TH MILE STONE, REWA ROAD IRADATGANJ, GHOORPUR ALLAHABAD",Allahabad,Uttar Pradesh,,1-44643303095,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT GIRLS  POLYTECHNIC MEJA,Government,"MEJA KHAS, ALLAHABAD",Allahabad,Uttar Pradesh,,1-44639675338,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT GIRLS POLYTECHNIC PRAYAGRAJ,Government,"RASOOLABAD ROAD, TELIYARGANJ, ALLAHABAD - 211004",Allahabad,Uttar Pradesh,211004,1-44639423680,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC BARA,Government,"VILLAGE RERA,TAHSIL -BARA,BLOCK - JASRA",Allahabad,Uttar Pradesh,,1-44644889854,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HANDIA POLYTECHNIC HANDIA ALLAHABAD,Govt aided,HANDIA ALLAHABAD 221504,Allahabad,Uttar Pradesh,221504,1-44640598249,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HANSWAHINI INSTITUTE OF SCIENCE & TECHNOLOGY,Private-Self Financing,MAHUARI CHAKIA POST:NIBI NAINI,Allahabad,Uttar Pradesh,,1-44641248457,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HMFA MEMORIAL INSTITUTE OF ENGG & TECH.,Private-Self Financing,"KARARI BHADAILY, HANDIA, ALLAHABAD",Allahabad,Uttar Pradesh,,1-44643244307,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF ENGG. & RURAL TECHNOLOGY,Govt aided,"26, CHATHAM LINE",Allahabad,Uttar Pradesh,,1-44640769341,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF ENGINEERING AND RURAL TECHNOLOGY,Private-Self Financing,26- CHATHAM LINES  (NEAR PRAYAG RAILWAY STATION),Allahabad,Uttar Pradesh,,1-44643576854,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
KRISHNNARIPT INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private-Self Financing,"ARAZI NO. 643,644 IRADATJANG",Allahabad,Uttar Pradesh,,1-44638750663,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
LAL BAHADUR SHASTRI POLYTECHNIC,Govt aided,VILLAGE MANDA MAUJA GIRDHARPUR DISTRICT ALLAHABAD,Allahabad,Uttar Pradesh,,1-44640369627,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
LDC INSTITUTE OF TECNICAL STUDIES,Private-Self Financing,ALLAHABAD PRATAPGARH ROAD  VILL: ABDALPUR TEH: SORAON,Allahabad,Uttar Pradesh,,1-44641691723,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
M.G. POLYTECHNIC,Private-Self Financing,"VILL.-HABIBPUR, PARGANA-JHUNSI, TEHSIL-PHOOLPUR DISTT.-ALLAHABAD",Allahabad,Uttar Pradesh,,1-44640560336,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAA GAYATRI DEGREE COLLEGE,Private-Self Financing,MAWAIYA ROAD NAINI PRAYAGRAJ,Allahabad,Uttar Pradesh,,1-44774655477,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHAVEER INSTITUTE OF TECHNOLOGY,Private-Self Financing,"VILL. SARFUDDEENPUR ABUSA, POST SARAY INYAYAT, TEHSIL FULPUR",Allahabad,Uttar Pradesh,,1-44639682550,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"MALTI MEMORIAL TRUST'S CSM ""GROUP OF INSTITUTIONS""",Private-Self Financing,"8TH MILE STONE, REWA ROAD, IRADATGANJ, ALLAHABAD",Allahabad,Uttar Pradesh,,1-44643253703,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
NEHRU GRAM BHARATI DEEMED TO BE UNIVERSITY,Deemed to be University(Pvt),"KOTWA-JAMUNIPUR, DUBAWAL, PRAYAGRAJ",Allahabad,Uttar Pradesh,,1-44642520790,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
