Name,Institution_Type,Address,District_City,State,Pincode,AICTE_Permanent_ID,Women_Only,Minority_Institution,Courses_Offered,Website,Source
RAGHUWAR DAYAL PRABHU DAYAL INSTITUTE OF HIGHER EDUCATION,Private-Self Financing,VILLAGE SHEKHUPUR RAURA BULANDSHAHR U.P,Bulandshahar,Uttar Pradesh,,1-44643917937,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SATYADEV INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,"GUCHAVALI  CHAURAHA JAHANGIRABAD DEHAT, DISTRICT- BULANDSHAHR (U.P) 203394",Bulandshahar,Uttar Pradesh,203394,1-44644488253,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SCHOOL OF BUSINESS MANAGEMENT& TECHNOLOGY,Private-Self Financing,76KM STONE DELHI- KANPUR HIGHWAY,Bulandshahar,Uttar Pradesh,,1-44638241473,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SETH GANGA SAGAR JATIA POLYTECHNIC,Government,G.T.ROAD,Bulandshahar,Uttar Pradesh,,1-44640669218,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHRI RAM INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,NH 509 RAILWAY ROAD,Bulandshahar,Uttar Pradesh,,1-44645004326,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHYAMLAL SARASWATI MAHAVIDYALAYA,Private-Self Financing,SARASWATI VIHAR SHIKARPUR,Bulandshahar,Uttar Pradesh,,1-44644484935,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SMT SHANTI RAGHAVE MEMORIAL COLLEGE FOR EDUCATION AND TECHNOLOGY,Private-Self Financing,"SMT SHANTI RAGHAVE MEMORIAL COLLEGE FOR EDUCATION AND TECHNOLOGY KHURJA PAHASU ROAD , KHURJA BULANDSHAHR , UTTAR PRADESH 203396",Bulandshahar,Uttar Pradesh,203396,1-44645020097,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SYANA DEGREE COLLEGE GHANSOORPUR,Private-Self Financing,VILLAGE GHANSOORPUR POST BHASORA DISTT BULANDSHAHR,Bulandshahar,Uttar Pradesh,,1-44645040473,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VIIT POLYTECHNIC COLLEGE,Private-Self Financing,"VIIT CAMPUS, G.T. ROAD, SUNHERA, BULANDSHAHR U.P.",Bulandshahar,Uttar Pradesh,,1-44639690773,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
WALSON INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,3 KM MILESTONE GULAOTHI ROAD SIKANDRABAD,Bulandshahar,Uttar Pradesh,,1-44645000660,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
CHANDAULI POLYTECHNIC CHANDAULI,Govt aided,CHANDAULI POLYTECHNIC CHANDAULI,Chandauli,Uttar Pradesh,,1-44640005464,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHAMAYA POLYTECHNIC OF INFORMATION TECHNOLOGY,Government,"DHANAPUR CHANDAULI (PRESENTLY RUNNING AT GOVT. POLYTECHNIC, JAUNPUR)",Chandauli,Uttar Pradesh,,1-44641609174,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PT. RAM ADHAR J. TIWARI COLLEGE OF POLYTECHNIC,Private-Self Financing,"MAHUAR KALAN, NEAR BALUWA GHAT CHANDAULI, U.P.",Chandauli,Uttar Pradesh,,1-44639414755,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SANT RAVIDAS GOVT POLYTECHNIC CHAKIYA CHANDAULI,Government,RAMPUR DHUNNOO KERAM GARAUR,Chandauli,Uttar Pradesh,,1-44638207757,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHRI TRIDANDIDEO HANUMAT TECHNICAL COLLEGE,Private-Self Financing,"BISUPUR, KHANDWARI, CHANDAULI",Chandauli,Uttar Pradesh,,1-44640259720,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
CHITRAKOOT INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY,Private-Self Financing,CICST NEAR HDFC BANBK MISHRA COMPLEX KARWI,Chitrakoot,Uttar Pradesh,,1-44644375193,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNEMENT POLYTECHNIC, MANIKPUR",Government,MANIKPUR,Chitrakoot,Uttar Pradesh,,1-44640319159,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC  KALCHINHA CHITRAKOOT,Government,GOVERNMENT POLYTECHNIC KALCHINHA     VIL - KALCHINHA  POST BARGARH DIST - CHITRAKOOT,Chitrakoot,Uttar Pradesh,,1-44640380366,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BABA VISHWANATH TECHNICAL INSTITUTE,Private-Self Financing,"VILLAGE-KAIROUTA, POST OFFICE-CHERO, PIN CODE-274509, POLICE STATION-MAIL, TEHSIL-SALEMPUR, BLOCK-BHAGALPUR, DISTRICT-DEORIA.",Deoria,Uttar Pradesh,274509,1-44642526741,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC, CHARIYAON BUJURG,DEORIA",Government,"CHARIYAON BUJURG,GAURIBAZAR,DEORIA-274202 (U.P.)",Deoria,Uttar Pradesh,274202,1-44638201083,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC, DEORIA",Government,PO- G.I.ESTATE GORAKHPUR-DEORIA ROAD DISTT- DEORIA (U.P),Deoria,Uttar Pradesh,,1-44640553764,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
R.P. POLYTEHCHNIC COLLEGE,Private-Self Financing,"VILL-MUNDERA LALA, POST-GOVINDPUR THANA-RAMPUR KARKHANA, DIST.-DEORIA",Deoria,Uttar Pradesh,,1-44643209547,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVT.POLYTECHNIC ETAH,Government,"SIKANDRARAO-ETAH ROAD,NAGARIA ETAH",Etah,Uttar Pradesh,,1-44639505706,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"BAHAB DR. BHIM RAM AMBEDKAR COLLEGE OF AGRIL. ENGG. & TECHNOLOGY, ETAWAH (CSAUA&T, KANPUR)",Government,BABA SAHAB DR. BHIM RAO AMBEDKAR COLLEGE OF AGRIL. ENGG. & TECHNOLOGY ETAWAH  NEAR GOVT. HOSPITAL AGRA ROAD ETAWAH,Etawah,Uttar Pradesh,,1-44640510047,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
CHAUDHARY CHARAN SINGH DEGREE COLLEGE HEONRA ETAWAH,Govt aided,"VILLAGE AND POST-HEONRA, SAIFAI",Etawah,Uttar Pradesh,,1-44644891063,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC ETAWAH,Government,AGRA BY PASS ROAD NH-2 ETAWAH,Etawah,Uttar Pradesh,,1-44640311479,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
NARAYAN COLLEGE OF SCIENCE AND ARTS,Private-Self Financing,ALAMPUR HAUZ OLD AGRA ROAD,Etawah,Uttar Pradesh,,1-44644731373,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
S.S. MEMORIAL MAHAVIDHYALAYA,Private-Self Financing,"SUTIYANI MOD, TAKHA",Etawah,Uttar Pradesh,,1-44671778847,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SANCHETNA COLLEGE,Private-Self Financing,INFRONT OF GOVT POLYTECHNIC NH2 AGRA ROAD ETAWAH,Etawah,Uttar Pradesh,,1-44645045759,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHRI SOBRAN SINGH MAHAVIDHYALAY,Private-Self Financing,"CHANDPURA BAKEWAR, ETAWAH",Etawah,Uttar Pradesh,,1-44756225513,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SIR MADANLAL INSTITUTE OF MANAGEMENT,Private-Self Financing,"ALAMPUR HAUZ, AGRA ROAD, ETAWAH - 206001(U.P.)",Etawah,Uttar Pradesh,206001,1-44641991647,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VIVEKANAND INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,ALAMPUR HAUZ,Etawah,Uttar Pradesh,,1-44644374637,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"ARYIKA GYANMATI GOVERNMENT GIRLS POLYTECHNIC, FAIZABAD",Government,"BANBEERPUR ROAD, POST - MUMTAZNAGAR, DISTT.- FAIZABAD",Faizabad,Uttar Pradesh,,1-44641105039,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BHAVDIYA EDUCATIONAL INSTITUTE,Private-Self Financing,NH 28 NEAR LOHIA BRIDGE SEEWAR SOHAWAL,Faizabad,Uttar Pradesh,,1-44644164533,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BHAVDIYA INSTITUTE OF BUSINESS MANAGEMENT,Private-Self Financing,NH 28 FAIZABAD-LUCKNOW HIGHWAY VILLAGE: SEBAR TAHSIL: SOHAWAL,Faizabad,Uttar Pradesh,,1-44641268475,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY AYODHYA,Government,VILLAGE GANJA TAHSIL SADAR AYODHYA,Faizabad,Uttar Pradesh,,1-44879221680,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"DR. RAM MANOHAR LOHIA AVADH UNIVERSITY, FAIZABAD",State Government University,"DEPARTMENT OF BUSINESS MANAGEMENT & ENTREPRENEURSHIP, DR. RAM MANOHAR LOHIA AVADH UNIVERSITY, FAIZABAD",Faizabad,Uttar Pradesh,,1-44642571619,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC FAIZABAD,Government,LUCKNOW ROAD MUMTAJ NAGAR,Faizabad,Uttar Pradesh,,1-44639428702,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF COMPUTER APPLICATION AND INFORMATION SCIENCE,State Government University,"DR. RAM MANOHAR LOHIA AVADH UNIVERSITY, FAIZABAD, UTTAR PRADESH, 224 001",Faizabad,Uttar Pradesh,,1-44642587289,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF ENGINEERING & TECHNOLOGY,State Government University,"DR. RAM MANOHAR LOHIA AVADH UNIVERSITY, FAIZABAD UTTAR PRADESH 224001",Faizabad,Uttar Pradesh,224001,1-44642556137,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
JHUNJHUNWALA P.G. COLLEGE FACULTY OF ENGINEERING AND TECHNOLOGY,Private-Self Financing,"HANSAPUR,DWARIKA PURI, DABHA SEMAR , FAIZABAD",Faizabad,Uttar Pradesh,,1-44640904819,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
KAMTA PRASAD SUNDARLAL SAKET SNATKOTTAR MAHAVIDYALAYA,Govt aided,K. S. SAKET PG COLLEGE AYODHYA,Faizabad,Uttar Pradesh,,1-44644413835,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
KB INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Private-Self Financing,"5/5/53A, NEAR RAILWAY CROSSING, PANCHKOSI PARIKRAMA MARG, BENIGANJ, AYODHYA",Faizabad,Uttar Pradesh,,1-44644875224,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
URMILA COLLEGE OF TECHNOLOGY @ MANAGEMENT,Private-Self Financing,"VILLAGE- POST- KOTSARAI, TAHSIL- SOHAWAL, FAIZABAD",Faizabad,Uttar Pradesh,,1-44639419203,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC KAIMGANJ FARRUKHABAD,Government,KAIMGANJ FARRUKHABAD,Farrukhabad,Uttar Pradesh,,1-44645001614,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC, FARRUKHABAD",Government,"BEWAR ROAD, BHOLEPUR",Farrukhabad,Uttar Pradesh,,1-44640666013,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
UTKARSH ACADEMY,Private-Self Financing,4/60B WARD NO 22 TAGORE COLONY MEMRAN FARRUKHABAD,Farrukhabad,Uttar Pradesh,,1-44644919231,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ALLAHABAD COLLEGE OF ENGINEERING AND MANAGEMENT,Private-Self Financing,G.T ROAD (123 K.M FROM KANPUR/77 K.M FROM ALLAHABAD) PURIEN MOD. KHAGA,Fatehpur,Uttar Pradesh,,1-44641048214,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNEMT POLYTECHNIC, FATEHPUR",Government,"NAUWA BAGH, G.T. ROAD",Fatehpur,Uttar Pradesh,,1-44640245235,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC, BINDKI, FATEHPUR",Government,"52 IMLI, NANDAPUR, BINDKI",Fatehpur,Uttar Pradesh,,1-44638244742,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
R. K. POLYTECHNIC COLLEGE,Private-Self Financing,"VILL - SARAI LANGER (SAKURABAD) POST - JAHANABAD, TEHSIL - BINDKI, DISTT - FATEHPUR",Fatehpur,Uttar Pradesh,,1-44638614003,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
UMRAO  TECHNOLOGICAL  INSTITUTE,Private-Self Financing,GRAM & POST -ALAMPUR TEHSIL-BINDKI,Fatehpur,Uttar Pradesh,,1-44640326762,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AMARDEEP POLYTECHNIC COLLEGE,Private-Self Financing,"VILL-KAKRAU, JALESAR ROAD, POST- FIROZABAD",Firozabad,Uttar Pradesh,,1-44638436790,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC, FIROZABAD",Government,"NEAR STADIUM, JALESAR ROAD , FIROZABAD",Firozabad,Uttar Pradesh,,1-44639674857,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVT POLYTECHNIC  TUNDLA,Government,"PAHARIPUR BHONDELA,TUNDLA",Firozabad,Uttar Pradesh,,1-44640344398,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"J.S. UNIVERSITY, SHIKOHABAD",State Private University,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",Firozabad,Uttar Pradesh,,1-44642249752,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
RAM SINGH COLLEGE OF ENGG.&TECHNOLOGY,Private-Self Financing,"NAGLA SIKANDAR TUNDLA,ETAH ROAD  FIROZABAD",Firozabad,Uttar Pradesh,,1-44639671382,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCMAN BUSINESS SCHOOL,Private-Self Financing,"46 A/2, KNOWLEDGE PARK III",Gautam Buddha Nagar,Uttar Pradesh,,1-44638154689,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCMAN INSTITUTE OF MANAGEMENT,Private-Self Financing,"46 A/2, KNOWLEDGE PARK - III",Gautam Buddha Nagar,Uttar Pradesh,,1-44752891363,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCURATE BUSINESS SCHOOL,Private-Self Financing,"PLOT NO. 49, KNOWLEDGE PARK-III",Gautam Buddha Nagar,Uttar Pradesh,,1-44644350324,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCURATE INSTITUTE OF ADVANCED MANAGEMENT,Private-Self Financing,"PLOT NO. 49, KNOWLEDGE PARK-III, GREATER NOIDA, UP",Gautam Buddha Nagar,Uttar Pradesh,,1-44638760022,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private-Self Financing,"PLOT NO. 49, KNOWLEDGE PARK-III",Gautam Buddha Nagar,Uttar Pradesh,,1-44639810651,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private-Self Financing,"PLOT NO. 49, KNOWLEDGE PARK-III, GREATER NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44642148586,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACCURATE INSTITUTE OF POLYTECHNIC,Private-Self Financing,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,Gautam Buddha Nagar,Uttar Pradesh,,1-44638424887,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ARMY INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private-Self Financing,"PLOT M-1, POCKET P-5, GREATER NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44642560983,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ASIAN SCHOOL OF BUSINESS,Private-Self Financing,"BLOK-B PLOT A2, SECTOR 125  NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44644921284,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BIRLA INSTITUTE OF MANAGEMENT TECHNOLOGY,Private-Self Financing,"PLOT NO.5, INSTITUTIONAL AREA, KNOWLEDGE PARK Ã¢â¬âII, GREATER NOIDA, DISTT. GAUTAM BUDH NAGAR, (U.P) PIN 201306",Gautam Buddha Nagar,Uttar Pradesh,201306,1-44642424014,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
C-MAT BUSINESS SCHOOL,Private-Self Financing,PLOT NO 25,Gautam Buddha Nagar,Uttar Pradesh,,1-44638513899,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING, NOIDA",Government,"ANUSANDHAN BHAWAN, C-56/1 & B-30, INSTITUTIONAL AREA, SECTOR-62, NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44640257575,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
COLLEGE OF EDUCATION,Private-Self Financing,SIKANDRABAD DANAKUR ROAD BILASPUR,Gautam Buddha Nagar,Uttar Pradesh,,1-44645003489,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DELHI INSTITUTE OF HIGHER EDUCATION,Private-Self Financing,PLOT NO 20 C TECH ZONE IV GREATER NOIDA WEST,Gautam Buddha Nagar,Uttar Pradesh,,1-44638162701,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DELHI METROPOLITAN EDUCATION,Private-Self Financing,"B-12, SECTOR 62, NOIDA, UTTAR PRADESH 201309",Gautam Buddha Nagar,Uttar Pradesh,201309,1-44643805598,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DELHI TECHNICAL CAMPUS,Private-Self Financing,"28/1, KNOWLEDGE PARK III, GREATER NOIDA, UTTAR PRADESH",Gautam Buddha Nagar,Uttar Pradesh,,1-44639477924,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DIVINE INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,"PLOT NO.30/5 & 30/6, KNOWLEDGE PARK-III,",Gautam Buddha Nagar,Uttar Pradesh,,1-44753727283,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DRONACHARYA GROUP OF INSTITUTIONS,Private-Self Financing,"B-27, KNOWLEDGE PARK-III, GREATER NOIDA-201308",Gautam Buddha Nagar,Uttar Pradesh,201308,1-44642809844,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
G L BAJAJ INSTITUTE OF MANAGEMENT AND RESEARCH,Private-Self Financing,"PLOT NO.2, KNOWLEDGE PARK-III,",Gautam Buddha Nagar,Uttar Pradesh,,1-44638762863,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
G.L. BAJAJ INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Private-Self Financing,"PLOT NO :2,KNOWLEDGE PARK - III",Gautam Buddha Nagar,Uttar Pradesh,,1-44643183899,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
G.L.BAJAJ COLLEGE OF TECHNOLOGY AND MANAGEMENT,Private-Self Financing,PLOT NO. 2 A,Gautam Buddha Nagar,Uttar Pradesh,,1-44638908370,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GALGOTIAS COLLEGE OF ENGINEERING & TECHNOLOGY,Private-Self Financing,"PLOT NO 1, KNOWLEDGE PARK, PHASE II, INSTITUTIONAL AREA, GREATER NOIDA, UP.",Gautam Buddha Nagar,Uttar Pradesh,,1-44642766198,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GALGOTIAS INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private-Self Financing,"1,KNOWLEDGE PARK 2 GREATER NOIDA GAUTAM BUDH NAGAR (DIST) UTTAR PRADESH PIN: 201 306",Gautam Buddha Nagar,Uttar Pradesh,,1-44642557220,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GAUTAM BUDDHA UNIVERSITY,State Government University,"GREATER NOIDA, UP",Gautam Buddha Nagar,Uttar Pradesh,,1-44638949064,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GLOBAL INSTITUTE OF INFORMATION TECHNOLOGY,Private-Self Financing,"32A, KNOWLEDGE PARK-1, GREATER NOIDA, DISTT-GAUTAM BUDH NAGAR-201308, U.P.",Gautam Buddha Nagar,Uttar Pradesh,201308,1-44642918168,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GNIOT INSTITUTE OF MANAGEMENT STUDIES,Private-Self Financing,"PLOT NO. 7, KNOWLEDGE PARK - II",Gautam Buddha Nagar,Uttar Pradesh,,1-44638234438,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GNIOT INSTITUTE OF PROFESSIONAL STUDIES,Private-Self Financing,"PLOT NO. 7, KNOWLEDGE PARK - II, GREATER NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44644411228,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GNIT COLLEGE OF MANAGEMENT,Private-Self Financing,"PLOT NO. 6-C, KNOWLEDGE PARK - II,",Gautam Buddha Nagar,Uttar Pradesh,,1-44642594173,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA COLLEGE,Private-Self Financing,"PLOT NO. 6-B, KNOWLEDGE PARK - II,",Gautam Buddha Nagar,Uttar Pradesh,,1-44638703815,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA INSTITUTE OF BUSINESS MANAGEMENT,Private-Self Financing,"11/1, KNOWLEDGE PARK -III, GREATER NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44645039567,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA INSTITUTE OF MANAGEMENT,Private-Self Financing,PLOT NO 6 C KNOWLEDGE PARK II GREATER NOIDA,Gautam Buddha Nagar,Uttar Pradesh,,1-44643192235,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA INSTITUTE OF MANAGEMENT,Private-Self Financing,"PLOT NO. 6B, KNOWLEDGE PARK-II",Gautam Buddha Nagar,Uttar Pradesh,,1-44643844761,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA INSTITUTE OF TECHNOLOGY,Private-Self Financing,"PLOT NO. 6-C, KNOWLEDGE PARK - II,",Gautam Buddha Nagar,Uttar Pradesh,,1-44638153223,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA INSTITUTE OF TECHNOLOGY (ENGINEERING INSTITUTE),Private-Self Financing,"7, KNOWLEDGE PARK - II,",Gautam Buddha Nagar,Uttar Pradesh,,1-44641892258,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GREATER NOIDA INSTITUTE OF TECHNOLOGY (MBA INSTITUTE),Private-Self Financing,"PLOT NO. 7, KNOWLEDGE PARK - II,",Gautam Buddha Nagar,Uttar Pradesh,,1-44643438297,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HARLAL INSTITUTE OF MANAGEMENT & TECHNOLOGY (HIMT),Private-Self Financing,"8, INSTITUTIONAL AREA, KNOWLEDGE PARK-I",Gautam Buddha Nagar,Uttar Pradesh,,1-44641983246,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HARLAL INSTITUTE OF MANAGEMENT & TECHNOLOGY (MCA),Private-Self Financing,"8, INSTITUTIONAL AREA, KNOWLEDGE PARK - I, GREATER NOIDA. DISTT. GAUTAM BUDH NAGAR - 201306 (U.P.)",Gautam Buddha Nagar,Uttar Pradesh,201306,1-44642570475,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HIERANK BUINESS SCHOOL,Private-Self Financing,"A-42, INSTITUTIONAL AREA, SECTOR-62, NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44644487610,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
HIERANK BUSSINESS SCHOOL,Private-Self Financing,"A-42, INSTITUTIONAL AREA",Gautam Buddha Nagar,Uttar Pradesh,,1-44638490476,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
IIF BUSINESS SCHOOL,Private-Self Financing,"PLOT NO. 45A, KNOWLEDGE PARK III, GREATER NOIDA",Gautam Buddha Nagar,Uttar Pradesh,,1-44638123592,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
